datetime_utc,address,rssi,timestamp_in_seconds
2024-03-23 18:13:51.093188,FA:A5:6E:E8:3D:9C,-47,1711217631.0932012
2024-03-23 18:13:51.093188,E4:02:B8:34:EC:F3,-52,1711217631.0932012
2024-03-23 18:13:51.093188,D7:AB:60:ED:B3:66,-61,1711217631.0932012
2024-03-23 18:13:51.961834,EE:93:45:01:28:95,-59,1711217631.9618473
2024-03-23 18:13:51.961834,D7:AB:60:ED:B3:66,-61,1711217631.9618473
2024-03-23 18:13:51.961834,F3:B0:D4:A4:42:E0,-63,1711217631.9618473
2024-03-23 18:13:52.537561,EE:93:45:01:28:95,-54,1711217632.5375857
2024-03-23 18:13:52.537561,FA:A5:6E:E8:3D:9C,-57,1711217632.5375857
2024-03-23 18:13:52.537561,E4:02:B8:34:EC:F3,-59,1711217632.5375857
2024-03-23 18:13:53.305345,FA:A5:6E:E8:3D:9C,-51,1711217633.3053665
2024-03-23 18:13:53.305345,EE:93:45:01:28:95,-56,1711217633.3053665
2024-03-23 18:13:53.305345,F3:B0:D4:A4:42:E0,-60,1711217633.3053665
2024-03-23 18:13:54.031792,F3:B0:D4:A4:42:E0,-65,1711217634.0318127
2024-03-23 18:13:54.031792,E4:02:B8:34:EC:F3,-65,1711217634.0318127
2024-03-23 18:13:54.031792,E9:71:D6:A6:52:19,-73,1711217634.0318127
2024-03-23 18:13:54.843309,FA:A5:6E:E8:3D:9C,-52,1711217634.8433313
2024-03-23 18:13:54.843309,EE:93:45:01:28:95,-63,1711217634.8433313
2024-03-23 18:13:54.843309,F3:B0:D4:A4:42:E0,-64,1711217634.8433313
2024-03-23 18:13:55.314293,FA:A5:6E:E8:3D:9C,-58,1711217635.3143137
2024-03-23 18:13:55.314293,E4:02:B8:34:EC:F3,-61,1711217635.3143137
2024-03-23 18:13:55.314293,EE:93:45:01:28:95,-64,1711217635.3143137
2024-03-23 18:13:56.147090,D7:AB:60:ED:B3:66,-52,1711217636.1471121
2024-03-23 18:13:56.147090,E9:71:D6:A6:52:19,-63,1711217636.1471121
2024-03-23 18:13:56.147090,E4:02:B8:34:EC:F3,-65,1711217636.1471121
2024-03-23 18:13:56.983678,D7:AB:60:ED:B3:66,-56,1711217636.9837017
2024-03-23 18:13:56.983678,F3:B0:D4:A4:42:E0,-62,1711217636.9837017
2024-03-23 18:13:56.983678,EE:93:45:01:28:95,-66,1711217636.9837017
2024-03-23 18:13:57.865471,F3:B0:D4:A4:42:E0,-63,1711217637.8654945
2024-03-23 18:13:57.865471,E4:02:B8:34:EC:F3,-64,1711217637.8654945
2024-03-23 18:13:57.865471,FA:A5:6E:E8:3D:9C,-65,1711217637.8654945
2024-03-23 18:13:58.991310,D7:AB:60:ED:B3:66,-47,1711217638.9913301
2024-03-23 18:13:58.991310,FA:A5:6E:E8:3D:9C,-57,1711217638.9913301
2024-03-23 18:13:58.991310,EE:93:45:01:28:95,-60,1711217638.9913301
2024-03-23 18:13:59.584523,EE:93:45:01:28:95,-57,1711217639.584546
2024-03-23 18:13:59.584523,D7:AB:60:ED:B3:66,-57,1711217639.584546
2024-03-23 18:13:59.584523,E4:02:B8:34:EC:F3,-63,1711217639.584546
2024-03-23 18:14:00.238159,E9:71:D6:A6:52:19,-59,1711217640.2381806
2024-03-23 18:14:00.238159,E4:02:B8:34:EC:F3,-62,1711217640.2381806
2024-03-23 18:14:00.238159,FA:A5:6E:E8:3D:9C,-62,1711217640.2381806
2024-03-23 18:14:01.072777,EE:93:45:01:28:95,-58,1711217641.072798
2024-03-23 18:14:01.072777,E9:71:D6:A6:52:19,-61,1711217641.072798
2024-03-23 18:14:01.072777,E4:02:B8:34:EC:F3,-64,1711217641.072798
2024-03-23 18:14:01.894405,D7:AB:60:ED:B3:66,-45,1711217641.8944268
2024-03-23 18:14:01.894405,FA:A5:6E:E8:3D:9C,-59,1711217641.8944268
